Seconds Time Day T0_Nipple_close_to_WaCu T1_WaCu_piece T2_Nipple_far_from_WaCu T3_Flat_slower_end T4_Fat_slower T5_Chamber_by_the_tube T6_Viewport_computer T7_Viewport_door T8_NU T9_NU T10_NU T11_NU T12_Viewport_door T13_Viewport_door T14_Viewport_door T15_Viewport_door T16_Viewport_door T17_Viewport_door T18_Viewport_door T19_Viewport_door T20_Viewport_door T21_Viewport_door T22_Viewport_door T23_Viewport_door S0_Nipple_close_to_WaCu S1_WaCu_piece S2_Nipple_far_from_WaCu S3_Flat_slower_end S4_Fat_slower S5_Chamber_by_the_tube S6_Viewport_computer S7_Viewport_door S8_NU S9_NU S10_NU S11_NU S12_Viewport_door S13_Viewport_door S14_Viewport_door S15_Viewport_door S16_Viewport_door S17_Viewport_door S18_Viewport_door S19_Viewport_door S20_Viewport_door S21_Viewport_door S22_Viewport_door S23_Viewport_door O0_Nipple_close_to_WaCu O1_WaCu_piece O2_Nipple_far_from_WaCu O3_Flat_slower_end O4_Fat_slower O5_Chamber_by_the_tube O6_Viewport_computer O7_Viewport_door O8_NU O9_NU O10_NU O11_NU O12_Viewport_door O13_Viewport_door O14_Viewport_door O15_Viewport_door O16_Viewport_door O17_Viewport_door O18_Viewport_door O19_Viewport_door O20_Viewport_door O21_Viewport_door O22_Viewport_door O23_Viewport_door 
10715 23:20:48 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 21 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10720 23:20:53 22Jun2016 24 24 23 23 22 23 22 25 21 26 22 23 22 21 22 20 22 22 20 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10725 23:20:58 22Jun2016 23 24 23 23 21 23 22 25 21 25 22 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10730 23:21:3 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10735 23:21:8 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10740 23:21:13 22Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 22 22 21 21 21 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10745 23:21:18 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10750 23:21:23 22Jun2016 24 24 23 23 21 23 21 25 21 26 23 23 22 22 22 21 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10755 23:21:28 22Jun2016 23 24 23 23 21 23 22 25 21 26 22 22 22 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10760 23:21:33 22Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 21 22 21 21 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10765 23:21:38 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 22 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10770 23:21:43 22Jun2016 24 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10775 23:21:48 22Jun2016 24 24 23 23 21 23 22 25 21 26 22 23 22 22 22 21 22 22 21 21 21 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10780 23:21:53 22Jun2016 23 24 23 22 21 23 22 25 21 26 23 23 22 22 22 21 21 21 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10785 23:21:58 22Jun2016 24 24 23 23 21 23 21 25 21 26 23 23 21 21 22 21 22 22 21 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10790 23:22:3 22Jun2016 23 24 23 23 21 23 22 25 21 26 23 23 22 21 22 20 22 22 21 21 22 23 21 21 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10795 23:22:8 22Jun2016 23 24 23 22 21 23 22 25 21 26 23 23 22 22 22 20 22 22 21 22 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
10800 23:22:13 22Jun2016 24 24 23 23 22 23 22 25 21 26 23 23 22 21 22 20 22 22 20 21 22 23 21 22 23 24 23 23 22 23 22 25 21 26 23 22 21 20 21 19 21 21 19 21 21 22 21 20 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
