Seconds Time Day T0_13_M1-1Left_TC_tube_ T1_14_M1-2Ion_pump_2_fla T2_15_M1-3Ti-sub_2_vert_tu T3_16_M1-4Gate_valve_1_b T4_17_M1-5Cross_front_red T5_18_M1-6Cross_front_flan T6_19cM1-7Ion_pump_2_rig T7_20cM1-8Ti-sub_2_flange T8_21_M1-9Gate_valve_1_to T9_22cM1-10TC_right_flang T10_23_M1-11Wobble_stick_ T11_24cM1-12T_on_Ion_pum T12_1cM2-1Ion_pump_1_flan T13_2cM2-2TC_left_flange T14_3cM2-3Ion_pump_1_top T15_4_M2-4Angle_valve_1_fl T16_5cM2-5Oven_backwind T17_6_M2-6Oven_reservoir T18_7cM2-7Cross_back_flan T19_8cM2-8TC_top_flange_ T20_9cM2-9Ti-Sub_1_flange_ T21_10cM2-10Cross_btm_fla T22_11cM2-11Right_TC_T-ho T23_12cM2-12Right_TC_T-ve S0_13_M1-1Left_TC_tube_ S1_14_M1-2Ion_pump_2_fla S2_15_M1-3Ti-sub_2_vert_tu S3_16_M1-4Gate_valve_1_b S4_17_M1-5Cross_front_red S5_18_M1-6Cross_front_flan S6_19cM1-7Ion_pump_2_rig S7_20cM1-8Ti-sub_2_flange S8_21_M1-9Gate_valve_1_to S9_22cM1-10TC_right_flang S10_23_M1-11Wobble_stick_ S11_24cM1-12T_on_Ion_pum S12_1cM2-1Ion_pump_1_flan S13_2cM2-2TC_left_flange S14_3cM2-3Ion_pump_1_top S15_4_M2-4Angle_valve_1_fl S16_5cM2-5Oven_backwind S17_6_M2-6Oven_reservoir S18_7cM2-7Cross_back_flan S19_8cM2-8TC_top_flange_ S20_9cM2-9Ti-Sub_1_flange_ S21_10cM2-10Cross_btm_fla S22_11cM2-11Right_TC_T-ho S23_12cM2-12Right_TC_T-ve O0_13_M1-1Left_TC_tube_ O1_14_M1-2Ion_pump_2_fla O2_15_M1-3Ti-sub_2_vert_tu O3_16_M1-4Gate_valve_1_b O4_17_M1-5Cross_front_red O5_18_M1-6Cross_front_flan O6_19cM1-7Ion_pump_2_rig O7_20cM1-8Ti-sub_2_flange O8_21_M1-9Gate_valve_1_to O9_22cM1-10TC_right_flang O10_23_M1-11Wobble_stick_ O11_24cM1-12T_on_Ion_pum O12_1cM2-1Ion_pump_1_flan O13_2cM2-2TC_left_flange O14_3cM2-3Ion_pump_1_top O15_4_M2-4Angle_valve_1_fl O16_5cM2-5Oven_backwind O17_6_M2-6Oven_reservoir O18_7cM2-7Cross_back_flan O19_8cM2-8TC_top_flange_ O20_9cM2-9Ti-Sub_1_flange_ O21_10cM2-10Cross_btm_fla O22_11cM2-11Right_TC_T-ho O23_12cM2-12Right_TC_T-ve 
18734 5:12:15 24Jun2016 23 22 23 23 23 22 24 23 23 22 22 21 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18739 5:12:20 24Jun2016 23 22 23 23 24 22 23 23 23 23 22 22 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18744 5:12:25 24Jun2016 23 22 23 23 23 22 23 23 23 22 23 22 24 22 23 22 22 23 23 23 21 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18749 5:12:30 24Jun2016 24 22 24 24 23 22 23 23 23 23 23 22 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18754 5:12:35 24Jun2016 23 22 23 23 23 21 23 23 23 22 22 22 23 23 22 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18759 5:12:40 24Jun2016 23 22 24 23 23 22 23 23 23 22 23 22 23 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18764 5:12:45 24Jun2016 23 22 24 23 23 22 24 24 23 22 22 21 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18769 5:12:50 24Jun2016 24 22 23 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 23 23 21 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18774 5:12:55 24Jun2016 23 22 23 23 23 22 23 23 23 23 22 22 24 22 23 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18779 5:13:0 24Jun2016 23 22 23 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 22 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18784 5:13:5 24Jun2016 24 22 24 23 23 22 24 23 23 22 23 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18789 5:13:10 24Jun2016 24 22 23 23 23 22 23 23 23 23 22 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18794 5:13:15 24Jun2016 23 22 24 23 24 22 23 23 23 23 22 22 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18799 5:13:20 24Jun2016 23 22 23 23 23 21 24 23 23 22 22 21 23 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18804 5:13:25 24Jun2016 23 22 24 23 23 22 24 23 23 22 23 21 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18809 5:13:30 24Jun2016 24 22 24 23 23 22 23 23 23 22 22 22 24 23 23 22 22 23 23 23 21 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18814 5:13:35 24Jun2016 23 22 24 23 23 22 24 23 23 22 22 22 24 22 23 22 23 23 23 23 22 23 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18819 5:13:40 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18824 5:13:45 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18829 5:13:50 24Jun2016 23 22 24 23 23 22 24 23 23 22 22 22 23 22 23 22 23 23 23 23 23 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18834 5:13:55 24Jun2016 23 22 24 23 23 22 24 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18839 5:14:0 24Jun2016 23 22 24 23 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 23 23 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18844 5:14:5 24Jun2016 24 22 23 23 24 22 24 23 23 22 22 21 24 22 23 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18849 5:14:10 24Jun2016 23 22 23 23 23 22 23 23 23 22 23 22 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18854 5:14:15 24Jun2016 23 22 23 23 23 22 24 23 23 23 22 22 24 22 22 22 22 23 23 23 23 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18859 5:14:20 24Jun2016 23 22 23 23 23 22 24 23 23 23 22 22 23 22 22 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18864 5:14:25 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18869 5:14:30 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 24 23 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18874 5:14:35 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 24 22 23 22 22 23 23 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18879 5:14:40 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18884 5:14:45 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 23 23 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18889 5:14:50 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18894 5:14:55 24Jun2016 23 22 24 23 23 22 23 23 23 23 22 22 24 22 22 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18899 5:15:0 24Jun2016 23 22 24 23 23 22 23 23 23 22 22 21 23 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18904 5:15:5 24Jun2016 23 22 24 23 24 22 23 23 23 22 22 21 23 22 23 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18909 5:15:10 24Jun2016 24 22 23 23 23 22 24 23 23 22 22 22 24 22 23 22 22 24 23 23 22 21 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18914 5:15:15 24Jun2016 23 22 24 23 23 22 23 23 23 22 22 21 24 22 22 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18919 5:15:20 24Jun2016 23 21 24 23 24 22 23 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18924 5:15:25 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 24 23 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18929 5:15:30 24Jun2016 23 22 23 23 23 22 23 23 23 23 23 21 23 22 22 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18934 5:15:35 24Jun2016 23 22 24 23 23 22 23 23 23 22 22 21 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18939 5:15:40 24Jun2016 23 22 24 23 23 22 24 23 23 23 23 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18944 5:15:45 24Jun2016 23 23 24 23 23 22 24 23 23 22 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18949 5:15:50 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 23 22 23 22 22 23 23 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18954 5:15:55 24Jun2016 23 22 24 23 23 22 24 23 23 23 22 22 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18959 5:16:0 24Jun2016 24 22 24 23 23 22 23 23 23 23 23 22 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18964 5:16:5 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18969 5:16:10 24Jun2016 23 22 24 23 23 22 23 23 23 23 22 21 24 22 23 22 22 24 23 23 23 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18974 5:16:15 24Jun2016 23 22 23 23 23 21 24 23 23 23 23 21 24 22 23 22 22 23 22 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18979 5:16:20 24Jun2016 23 22 23 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18984 5:16:25 24Jun2016 23 22 24 23 23 22 23 23 23 23 22 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18989 5:16:30 24Jun2016 23 22 23 23 23 22 23 23 23 22 23 22 23 22 23 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18994 5:16:35 24Jun2016 23 22 23 23 23 22 23 23 23 23 22 21 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
18999 5:16:40 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 22 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19004 5:16:45 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 21 24 22 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19009 5:16:50 24Jun2016 23 22 24 23 23 22 24 23 23 23 23 22 23 22 23 22 22 23 23 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19014 5:16:55 24Jun2016 23 22 24 23 23 22 24 23 23 22 22 22 23 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19019 5:17:0 24Jun2016 23 22 24 24 23 22 23 23 23 23 22 22 24 22 22 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19024 5:17:5 24Jun2016 24 22 23 24 23 22 24 23 23 22 22 22 23 23 23 22 22 24 23 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19029 5:17:10 24Jun2016 23 22 23 23 23 22 24 23 23 22 22 21 24 23 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19034 5:17:15 24Jun2016 23 22 23 23 24 22 23 23 23 22 23 21 23 21 23 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19039 5:17:20 24Jun2016 23 23 23 23 23 22 24 23 23 23 22 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19044 5:17:25 24Jun2016 23 22 23 23 23 22 23 23 23 22 22 22 24 22 22 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19049 5:17:30 24Jun2016 23 22 23 23 23 22 24 23 23 23 22 22 23 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19054 5:17:35 24Jun2016 23 22 23 23 23 22 24 23 23 22 22 22 23 23 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19059 5:17:40 24Jun2016 23 22 23 23 23 22 24 23 23 23 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19064 5:17:45 24Jun2016 23 23 23 23 23 22 24 23 23 22 22 21 23 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19069 5:17:50 24Jun2016 24 22 23 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 23 24 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19074 5:17:55 24Jun2016 23 22 24 23 23 22 23 23 23 23 23 22 24 23 22 22 22 24 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19079 5:18:0 24Jun2016 23 22 24 23 24 22 23 23 23 22 23 22 23 22 22 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19084 5:18:5 24Jun2016 23 22 23 24 23 22 24 23 23 22 22 22 24 22 22 22 23 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19089 5:18:10 24Jun2016 24 22 23 23 23 22 23 23 23 22 22 22 23 22 22 22 22 23 23 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19094 5:18:15 24Jun2016 23 22 24 23 23 21 24 23 23 23 22 21 24 22 23 22 22 23 23 23 21 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19099 5:18:20 24Jun2016 24 22 24 23 23 22 23 23 23 23 22 22 24 22 23 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19104 5:18:25 24Jun2016 23 22 23 23 23 22 24 23 23 23 23 21 23 22 23 22 22 23 23 22 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19109 5:18:30 24Jun2016 24 22 24 23 23 22 24 23 22 23 22 22 24 22 23 22 22 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19114 5:18:35 24Jun2016 23 22 23 23 23 22 24 23 23 23 22 22 24 22 22 22 22 23 23 23 22 22 23 22 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
19119 5:18:40 24Jun2016 23 22 23 23 23 22 23 23 23 23 23 22 24 22 22 22 23 23 23 23 22 22 23 23 23 22 23 23 23 22 24 23 23 22 22 22 23 21 22 22 21 23 22 22 21 21 22 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
